exposure,sex,age,deaths,pys
0,1,18,26,34746.8412258954
0,2,18,4,7537.27427035273
0,1,19,24,78170.5596414274
0,2,19,9,9561.15570532325
0,1,20,27,61856.2720815068
0,2,20,1,7721.36019732228
0,1,21,14,53853.079639973
0,2,21,0,5468.16680039041
0,1,22,21,50094.3871001636
0,2,22,0,6133.88266114574
0,1,23,22,18864.8399696421
0,2,23,2,4729.49896444322
0,1,24,10,33159.7507716654
0,2,24,2,4603.53410242116
0,1,25,9,13830.022092255
0,2,25,2,4544.90529211299
0,1,26,9,22338.5194966398
0,2,26,1,3874.62516759678
0,1,27,16,14102.3447840093
0,2,27,2,1303.22550229838
0,1,28,11,13150.3806144495
0,2,28,1,2496.77216534195
0,1,29,17,9815.37909981578
0,2,29,2,3499.12158233285
0,1,30,6,20548.4223560825
0,2,30,2,1110.68292617414
0,1,31,3,11562.6630855137
0,2,31,0,2420.33679870061
0,1,32,3,7862.14992115902
0,2,32,0,3148.86859881979
0,1,33,9,7074.25087338141
0,2,33,4,1496.05176016595
0,1,34,5,3362.4767484632
0,2,34,2,2224.26738550117
0,1,35,2,8922.36674365459
0,2,35,2,816.763800817652
0,1,36,12,6852.95868350423
0,2,36,0,1820.56587518677
0,1,37,5,8229.95665616203
0,2,37,1,1215.83241867738
0,1,38,8,5538.41642958226
0,2,38,0,1316.77900023954
0,1,39,5,8558.92062807584
0,2,39,1,1438.01026159051
0,1,40,12,4352.99392119492
0,2,40,3,1747.51913970884
0,1,41,3,3389.98516149376
0,2,41,0,621.935028516207
0,1,42,0,5140.52393497761
0,2,42,5,1701.35702193392
0,1,43,11,3260.42436932911
0,2,43,4,1785.53109888244
0,1,44,16,3283.44669934512
0,2,44,1,1810.35987401746
0,1,45,4,3872.82566071947
0,2,45,0,2367.6918017512
0,1,46,8,5104.34968513585
0,2,46,7,1944.89663103142
0,1,47,5,2855.48512850506
0,2,47,3,1425.94222811781
0,1,48,6,2971.47548262558
0,2,48,2,1145.83032849531
0,1,49,9,4549.36426786999
0,2,49,0,1531.66109550798
0,1,50,7,3513.45357399192
0,2,50,1,1137.84016578426
0,1,51,13,5518.38484327257
0,2,51,5,1271.5587542562
0,1,52,15,2079.3102707599
0,2,52,0,1046.07089767332
0,1,53,15,3309.23747855013
0,2,53,6,1453.34289570364
0,1,54,7,2858.69742117025
0,2,54,3,1088.2667065032
0,1,55,8,1783.95508593264
0,2,55,2,307.292468531212
0,1,56,7,1213.79774575455
0,2,56,1,644.958360307139
0,1,57,9,1285.55017886987
0,2,57,7,464.466000742269
0,1,58,9,1640.68451712392
0,2,58,1,627.890007653808
0,1,59,13,2142.94732687185
0,2,59,3,595.037032620443
0,1,60,3,1072.26431824277
0,2,60,1,450.141770668457
0,1,61,7,1008.56362749872
0,2,61,0,393.03200723441
0,1,62,7,909.793403487402
0,2,62,4,396.951754949798
0,1,63,12,484.799323825943
0,2,63,0,269.501774621315
0,1,64,11,1457.09461547175
0,2,64,3,235.351580827157
0,1,65,1,984.073661727209
0,2,65,2,176.376234188863
0,1,66,10,542.43493741328
0,2,66,2,289.226575895036
0,1,67,8,442.606571922796
0,2,67,2,212.218411810537
0,1,68,5,431.372090794507
0,2,68,0,104.681092961084
0,1,69,5,717.46680707873
0,2,69,1,120.617195615124
0,1,70,11,770.539418178626
0,2,70,1,88.7020751964874
0,1,71,5,255.944437176678
0,2,71,1,93.4396459540217
0,1,72,7,619.583656718316
0,2,72,0,64.5093853340897
0,1,73,5,219.369923316173
0,2,73,0,102.349576713587
0,1,74,3,294.039181667541
