py,year,age,pred,lower,upper,form,pd_type,group
1,2000,20,52.9134497661812,20.4202936655438,137.110328187027,52.91 (20.42-137.11),any,autistic
1,2001,20,42.445981627495,19.0139059363894,94.7549315931747,42.45 (19.01-94.75),any,autistic
1,2002,20,34.7187352340172,17.6822089399583,68.1696828910241,34.72 (17.68-68.17),any,autistic
1,2003,20,28.9566301678639,16.4021798483287,51.1204265793903,28.96 (16.40-51.12),any,autistic
1,2004,20,24.6257208512873,15.1592132985125,40.003799372955,24.63 (15.16-40.00),any,autistic
1,2005,20,21.3543666021259,13.9565950226394,32.6733685571791,21.35 (13.96-32.67),any,autistic
1,2006,20,18.8817066298243,12.8239291404056,27.801061698901,18.88 (12.82-27.80),any,autistic
1,2007,20,17.0236470407405,11.8130968222807,24.5324797491806,17.02 (11.81-24.53),any,autistic
1,2008,20,15.6502318673968,10.9788022115327,22.3093332755366,15.65 (10.98-22.31),any,autistic
1,2009,20,14.6705283692859,10.3598072129667,20.7749428352915,14.67 (10.36-20.77),any,autistic
1,2010,20,14.0225676580077,9.97515072042363,19.7122238284389,14.02 (9.98-19.71),any,autistic
1,2011,20,13.6667780668291,9.83132077723746,18.9985483090344,13.67 (9.83-19.00),any,autistic
1,2012,20,13.5819319198966,9.92963929178845,18.5776007824631,13.58 (9.93-18.58),any,autistic
1,2013,20,13.7630207837039,10.2668527867973,18.4497377167275,13.76 (10.27-18.45),any,autistic
1,2014,20,14.2207594923729,10.8239783360577,18.6835185974299,14.22 (10.82-18.68),any,autistic
1,2015,20,14.9826497325227,11.540497293242,19.4514835282633,14.98 (11.54-19.45),any,autistic
1,2016,20,16.0957519669313,12.2945362910071,21.0722247060652,16.10 (12.29-21.07),any,autistic
1,2017,20,17.6315594050247,12.9519048520056,24.0020205989065,17.63 (12.95-24.00),any,autistic
1,2018,20,19.6936850283564,13.4622356478568,28.8095707237048,19.69 (13.46-28.81),any,autistic
1,2000,20,1.25993168232494,0.0410416535753604,38.6784572705223,1.26 (0.04-38.68),bpd,autistic
1,2001,20,1.46097503580679,0.0781045586536679,27.3280854798148,1.46 (0.08-27.33),bpd,autistic
1,2002,20,1.69073471420296,0.142084844394523,20.1188514228415,1.69 (0.14-20.12),bpd,autistic
1,2003,20,1.95274269028303,0.246886877918849,15.4451465650887,1.95 (0.25-15.45),bpd,autistic
1,2004,20,2.25087536665998,0.409301706593423,12.3782526058936,2.25 (0.41-12.38),bpd,autistic
1,2005,20,2.58937381752206,0.646403571443606,10.372555262798,2.59 (0.65-10.37),bpd,autistic
1,2006,20,2.97286325267007,0.970422135840295,9.10729010877648,2.97 (0.97-9.11),bpd,autistic
1,2007,20,3.40637133640991,1.38143318321694,8.39951278316212,3.41 (1.38-8.40),bpd,autistic
1,2008,20,3.89534495530575,1.86120101494079,8.15264562990187,3.90 (1.86-8.15),bpd,autistic
1,2009,20,4.44566499137574,2.37648643043799,8.31645279451537,4.45 (2.38-8.32),bpd,autistic
1,2010,20,5.06365862189195,2.89913132739172,8.84424875713684,5.06 (2.90-8.84),bpd,autistic
1,2011,20,5.756108634501,3.43082758829486,9.65737442628066,5.76 (3.43-9.66),bpd,autistic
