autism,sex,year,pd,diag,py,age,pred,lower,upper,form,obs,pch
autism,m,2000,any,0,0.0358817932922656,20,50.5718605311757,16.6010978149819,154.056864557272,50.57 (16.60-154.06),0,4
autism,m,2001,any,1,0.0528515400410678,20,40.5953702813844,15.9207801191773,103.511516140948,40.60 (15.92-103.51),18.9209245222175,4
autism,m,2002,any,1,0.0739555783709788,20,33.082172984797,15.0846367337523,72.5526367464464,33.08 (15.08-72.55),13.5216304439371,4
autism,m,2003,any,6,0.104077960301164,20,27.3691616701388,14.0953294190718,53.143207104664,27.37 (14.10-53.14),57.6490928784364,4
autism,m,2004,any,0,0.141684120465435,20,22.9868206505274,12.9729333335596,40.7304893992333,22.99 (12.97-40.73),0,4
autism,m,2005,any,1,0.183142026009583,20,19.5995574533597,11.7675400126273,32.6442614136291,19.60 (11.77-32.64),5.46024318824385,4
autism,m,2006,any,4,0.244642231348392,20,16.9653791134366,10.5610956121156,27.2532414281375,16.97 (10.56-27.25),16.350406787713,4
autism,m,2007,any,2,0.337869062286105,20,14.9083925033296,9.44567813589972,23.5303557707097,14.91 (9.45-23.53),5.91945289831365,4
autism,m,2008,any,0,0.416661122518823,20,13.2998888976879,8.49115351494177,20.831921644047,13.30 (8.49-20.83),0,4
autism,m,2009,any,3,0.516312183436003,20,12.0452315638038,7.72997974423401,18.7694674793787,12.05 (7.73-18.77),5.81043813460941,4
autism,m,2010,any,4,0.616246338124572,20,11.0747068610231,7.16394395224075,17.1203366295501,11.07 (7.16-17.12),6.49091078118734,4
autism,m,2011,any,2,0.748658658453114,20,10.3371131792217,6.77757942859399,15.7660872891027,10.34 (6.78-15.77),2.67144442586481,4
autism,m,2012,any,6,0.907834291581109,20,9.79526632607315,6.5465323223449,14.6561931835594,9.80 (6.55-14.66),6.60913567116994,4
autism,m,2013,any,13,1.04885359342916,20,9.42286939346717,6.43748358720033,13.7927291625074,9.42 (6.44-13.79),12.3944848751458,4
autism,m,2014,any,8,1.17662327173169,20,9.20237739868278,6.4001601553979,13.2315047954488,9.20 (6.40-13.23),6.79911760390905,4
autism,m,2015,any,7,1.22731088295688,20,9.12361297847048,6.35877051128231,13.0906302772246,9.12 (6.36-13.09),5.70352638211385,4
autism,m,2016,any,3,1.22500691307324,20,9.18297948564621,6.22675261214255,13.5427111829296,9.18 (6.23-13.54),2.44896577152674,4
autism,m,2017,any,7,1.25217843942505,20,9.38318587566759,5.95670111077395,14.7806941359004,9.38 (5.96-14.78),5.59025757001062,4
autism,m,2018,any,11,1.34025037645448,20,9.73345377186729,5.56601725874552,17.021169343343,9.73 (5.57-17.02),8.20742168273031,4
autism,f,2000,any,0,0.0134531143052704,20,41.8300090430056,5.64800170609763,309.799774785636,41.83 (5.65-309.80),0,4
autism,f,2001,any,1,0.0187916495550993,20,37.1840368405816,6.78709115897055,203.717993964802,37.18 (6.79-203.72),53.2151260626634,4
autism,f,2002,any,0,0.0261010951403149,20,33.5926370828771,8.01008352078384,140.880586732192,33.59 (8.01-140.88),0,4
autism,f,2003,any,0,0.0338556468172485,20,30.8425759419753,9.26982385878892,102.619478560491,30.84 (9.27-102.62),0,4
autism,f,2004,any,1,0.0431089664613279,20,28.7790312416669,10.5002464999698,78.8774472305215,28.78 (10.50-78.88),23.1970302720451,4
autism,f,2005,any,0,0.0574451745379877,20,27.2910774410576,11.6232582731391,64.0786679940694,27.29 (11.62-64.08),0,4
autism,f,2006,any,0,0.0756144421629021,20,26.3017215787971,12.5701554113382,55.03357240791,26.30 (12.57-55.03),0,4
autism,f,2007,any,4,0.0966524982888433,20,25.7612334813832,13.3181108973131,49.8299763081434,25.76 (13.32-49.83),41.3853761756485,4
autism,f,2008,any,2,0.112824366872005,20,25.6429576208236,13.9214404883063,47.2337094782465,25.64 (13.92-47.23),17.726667168174,4
autism,f,2009,any,0,0.137325393566051,20,25.9411102051704,14.5070429957371,46.387206467544,25.94 (14.51-46.39),0,4
autism,f,2010,any,2,0.159512251882272,20,26.6703052299197,15.2371453411588,46.6823125415557,26.67 (15.24-46.68),12.5382218381325,4
autism,f,2011,any,2,0.192413415468857,20,27.8667548215753,16.2769244128235,47.7090145896355,27.87 (16.28-47.71),10.3942856329771,4
autism,f,2012,any,2,0.235704038329911,20,29.5912826560644,17.7864465254454,49.2309696587455,29.59 (17.79-49.23),8.48521736908314,4
autism,f,2013,any,8,0.278814647501711,20,31.9345034296021,19.9215955530908,51.1913067694544,31.93 (19.92-51.19),28.6928971332143,4
autism,f,2014,any,10,0.320617932922656,20,35.0247890037428,22.8076847464676,53.7860751055276,35.02 (22.81-53.79),31.1897712920891,4
autism,f,2015,any,11,0.341211772758385,20,39.0400055916456,26.4220000805422,57.6838252951986,39.04 (26.42-57.68),32.2380435794318,4
autism,f,2016,any,7,0.347579534565366,20,44.2245271323518,30.3321909011811,64.479641660305,44.22 (30.33-64.48),20.1392754862659,4
autism,f,2017,any,19,0.374467008898015,20,50.9137994954341,33.6020645818799,77.1445151158696,50.91 (33.60-77.14),50.7387821851473,4
autism,f,2018,any,14,0.409007460643395,20,59.5698904116333,35.4884288485416,99.9923625472032,59.57 (35.49-99.99),34.2292044697109,4
control,m,2000,any,0,0.37337227926078,20,1.11133153870713,0.273325900112592,4.51862698857446,1.11 (0.27-4.52),0,1
control,m,2001,any,0,0.554420054757016,20,1.22250567089207,0.371014025955047,4.02820381659737,1.22 (0.37-4.03),0,1
control,m,2002,any,2,0.792638056125941,20,1.34121427592626,0.492346938236136,3.65363444808433,1.34 (0.49-3.65),2.5232197527521,1
control,m,2003,any,2,1.1352180698152,20,1.46752495332254,0.638384431299102,3.37356204668358,1.47 (0.64-3.37),1.76177604389753,1
control,m,2004,any,0,1.55398795345654,20,1.60144808276212,0.808140532633929,3.17350245188629,1.60 (0.81-3.17),0,1
control,m,2005,any,2,2.04323559206024,20,1.74293132455432,0.997780158023568,3.04456806209702,1.74 (1.00-3.04),0.978839644224949,1
control,m,2006,any,0,2.72758056125942,20,1.89185448445078,1.20003557245325,2.9825060793987,1.89 (1.20-2.98),0,1
control,m,2007,any,4,3.75167926078031,20,2.04802486175822,1.40455441301757,2.98628931389596,2.05 (1.40-2.99),1.0661892240671,1
control,m,2008,any,3,4.63521574264206,20,2.21117320095448,1.60040821532765,3.05502488539668,2.21 (1.60-3.06),0.647219065210115,1
control,m,2009,any,9,5.76256865160851,20,2.38095036571377,1.78106204745784,3.18289003579855,2.38 (1.78-3.18),1.56180351924967,1
