exposure,sex,age,deaths,pys
0,1,18,32,38629.4794369956
0,2,18,7,12806.9969790248
0,1,19,25,81963.3556237981
0,2,19,4,10162.2349430903
0,1,20,31,42220.3766721126
0,2,20,0,10712.6407839439
0,1,21,11,42931.4088254575
0,2,21,1,10815.8557400581
0,1,22,28,28762.2629077841
0,2,22,1,6139.29448119619
0,1,23,14,26034.7933614305
0,2,23,3,8908.78534764178
0,1,24,7,35155.233136746
0,2,24,1,4268.66022557874
0,1,25,6,21205.2485520232
0,2,25,0,5228.10115033749
0,1,26,5,11100.6155214527
0,2,26,0,2377.20581102687
0,1,27,11,20714.2763437262
0,2,27,1,4171.26068776859
0,1,28,12,13580.5476752064
0,2,28,0,4902.38564238095
0,1,29,5,7865.69248926451
0,2,29,1,2413.9193822296
0,1,30,9,8802.9442642922
0,2,30,0,1635.14896813083
0,1,31,8,4206.83635871004
0,2,31,0,1631.537920369
0,1,32,7,5233.07191035325
0,2,32,0,2191.81753618767
0,1,33,5,3041.74029398249
0,2,33,2,1932.65697776845
0,1,34,6,4472.98117134848
0,2,34,3,1976.1909404877
0,1,35,3,4572.18050537072
0,2,35,2,2503.15954451352
0,1,36,11,6079.11479657216
0,2,36,0,1619.73584009422
0,1,37,3,7038.38546693226
0,2,37,0,1082.17228096172
0,1,38,4,2878.60764390504
0,2,38,0,1934.88551205213
0,1,39,2,2615.72966188662
0,2,39,3,2312.7837126271
0,1,40,8,3419.18595585442
0,2,40,4,2569.88573112384
0,1,41,7,3631.20814613748
0,2,41,0,1390.32314133502
0,1,42,3,4307.57825398868
0,2,42,4,1493.83388754129
0,1,43,8,3950.6475791453
0,2,43,2,920.967143427481
0,1,44,23,5309.78385385297
0,2,44,2,1515.01571963168
0,1,45,4,6163.23458382212
0,2,45,0,1434.92641104248
0,1,46,8,2801.26146258857
0,2,46,8,1755.90540223402
0,1,47,9,2991.50388046895
0,2,47,0,1984.6461535552
0,1,48,9,3407.62413139277
0,2,48,2,2115.95368677048
0,1,49,12,2079.35094414824
0,2,49,0,1424.99234600122
0,1,50,11,5183.81760681226
0,2,50,3,1393.3688897941
0,1,51,12,1820.59066032394
0,2,51,2,1652.08171172767
0,1,52,18,4191.94491955853
0,2,52,0,798.479121014527
0,1,53,18,2041.47894389002
0,2,53,6,1893.95638594299
0,1,54,6,2508.64065820884
0,2,54,5,660.644848887078
0,1,55,12,2614.51002405019
0,2,55,4,727.502567350585
0,1,56,17,1735.87326851748
0,2,56,3,794.48673022328
0,1,57,10,1084.76026326021
0,2,57,5,1544.05374621276
0,1,58,11,1830.70176607525
0,2,58,2,374.985606412384
0,1,59,9,2245.26955726853
0,2,59,4,632.901487617559
0,1,60,11,2010.05656413469
0,2,60,1,359.984392721223
0,1,61,17,1468.80597700261
0,2,61,0,113.404700389209
0,1,62,8,2055.58430345625
0,2,62,0,310.569121024906
0,1,63,12,787.250072268502
0,2,63,2,311.627090365612
0,1,64,12,706.212144597442
0,2,64,2,215.75836301066
0,1,65,5,769.210912624348
0,2,65,2,303.730580871181
0,1,66,17,726.418404494528
0,2,66,2,198.084367931477
0,1,67,12,567.156215030502
0,2,67,2,130.77858811762
0,1,68,6,266.861183129872
0,2,68,0,75.321032497964
0,1,69,5,538.570650021217
0,2,69,3,78.1136614853474
0,1,70,10,401.343037551919
0,2,70,0,144.528709291412
0,1,71,4,442.090527203977
0,2,71,1,95.2433581663997
0,1,72,5,250.159998092548
0,2,72,0,79.9643092111104
0,1,73,12,257.649590313307
0,2,73,0,97.748542061563
0,1,74,9,272.217827927278
0,2,74,2,25.9026920101338
0,1,75,8,265.306404030881
0,2,75,0,54.1264162778571
0,1,76,18,225.766443307931
0,2,76,0,88.5734879504448
0,1,77,4,116.256365968571
0,2,77,1,33.7338591623414
0,1,78,3,172.559481313716
0,2,78,1,55.430212190607
0,1,79,6,116.362463838401
0,2,79,0,81.7695462925459
0,1,80,5,75.6758734262745
0,2,80,4,25.5555261794912
0,1,81,8,98.2580838394131
0,2,81,0,30.8753374194527
0,1,82,1,33.7049891725089
0,2,82,3,33.3860945078262
0,1,83,5,90.7141168693267
0,2,83,0,13.1343803488064
0,1,84,2,53.1198022824724
0,2,84,4,17.04342915082
0,1,85,0,38.0191090217102
0,2,85,0,7.67188891679024
0,1,86,1,32.5909763079538
0,2,86,0,15.0835144803128
0,1,87,0,10.8642196164308
0,2,87,0,16.2975004569417
0,1,88,0,3.48594209941038
0,2,88,0,5.78540909525363
0,1,89,2,6.97184950503941
0,2,89,6,30.6948003630897
0,1,90,1,4.44360984869223
0,2,90,1,8.30702561225343
0,1,91,0,2.74438940842215
0,2,91,1,4.95544654665916
0,1,92,2,1.72681597865127
0,2,92,1,14.1867712351053
0,2,93,1,4.85630003537605
0,2,94,2,4.35083217453179
0,2,95,0,3.64550178310205
0,2,96,0,2.78583127116176
0,2,97,0,1.3825845557772
0,2,98,0,0.904320960329217
0,2,99,0,0.691855931065147
0,2,100,0,0.951625990636434
0,2,101,0,1.10401641127319
0,2,102,0,0.610889895842963
0,2,103,0,0.815519384082537
0,2,104,1,0.166752072347868
1,1,18,5,3067.44594835813
1,2,18,0,1613.02360375249
1,1,19,5,3369.0516785802
1,2,19,0,2111.84220249996
1,1,20,0,5955.77185074916
1,2,20,4,1081.5447727595
1,1,21,4,4883.34514908966
1,2,21,1,666.173662255317
1,1,22,3,3126.01732287482
1,2,22,0,706.426524283407
1,1,23,0,3762.99107039132
1,2,23,0,454.476902211212
1,1,24,0,1091.03689238956
1,2,24,1,487.936829360814
1,1,25,0,1802.66561855641
1,2,25,0,292.605683985165
1,1,26,2,1672.41370316816
1,2,26,0,327.232996772524
1,1,27,0,892.18713646288
1,2,27,0,300.164067950579
1,1,28,2,760.253553109551
1,2,28,0,269.641193538757
1,1,29,0,676.698343592111
1,2,29,0,191.5165387848
1,1,30,0,613.617767017452
1,2,30,0,190.840854483096
1,1,31,0,949.361870528263
1,2,31,2,171.166775078102
1,1,32,0,606.947778570776
1,2,32,0,190.451938937074
1,1,33,0,340.229764713075
1,2,33,0,168.217523583776
1,1,34,1,571.170477675075
1,2,34,0,142.794402394266
1,1,35,2,289.731564602583
1,2,35,0,146.493783378212
1,1,36,0,406.13373939949
1,2,36,0,50.3623722145642
1,1,37,3,367.915161510864
1,2,37,0,148.701092541442
1,1,38,0,336.592941279705
1,2,38,0,99.5610205125728
1,1,39,0,377.763797830492
1,2,39,0,92.7507573205018
1,1,40,2,218.62040946349
1,2,40,1,117.632289745673
1,1,41,1,296.449108422968
1,2,41,0,84.8649658040607
1,1,42,0,688.068244394833
1,2,42,0,135.965932563393
1,1,43,4,170.352848450283
1,2,43,0,155.958410147192
1,1,44,0,205.67003122656
1,2,44,0,127.595484000192
1,1,45,1,380.770825197647
1,2,45,0,102.525182959348
1,1,46,3,214.789762623423
1,2,46,0,140.859428844445
1,1,47,0,197.095086300515
1,2,47,0,99.345591247296
1,1,48,4,301.924854566402
1,2,48,1,99.7328255704124
1,1,49,3,440.185979378832
1,2,49,0,132.38994896986
1,1,50,0,120.19440043945
1,2,50,0,97.053120113723
1,1,51,0,345.369772615985
1,2,51,0,81.2774067322861
1,1,52,1,181.882519043158
1,2,52,2,151.013390603623
1,1,53,1,151.341382812167
1,2,53,0,71.5160110805136
1,1,54,0,211.916456702233
1,2,54,0,121.096871303935
1,1,55,0,192.711109404749
1,2,55,0,40.9855895168559
1,1,56,0,308.663475245087
1,2,56,0,29.9462709061199
1,1,57,1,94.4099468258151
1,2,57,2,59.8669442276442
1,1,58,5,95.3716428223567
1,2,58,0,55.3809071984837
1,1,59,0,74.7429487957351
1,2,59,0,24.1861051899355
1,1,60,2,45.500937336724
